lakeid,sampledate,depth,ca,mg,na,k,cl,so4,cond,ph,alk,dic,temp,bicarbonate,carbonate,alkalinity_calculated,hplus,cations,anions,Lake,Lat,Long
AL,1989-08-22,6,0.6681970158191526,0.28636083110471094,0.07177345687067728,0.021740242467645405,0.008461907313908555,0.06412658754944826,104,7.02,988,14.95,15.6,0.9970261912302106,7.885083112169859e-4,997.764160298769,9.549925860214369e-5,1.0480715462621863,1.0704031944047843,Allequash Lake,46.038317,89.620617
AL,1989-08-22,7,0.8298817306252806,0.3242131248714256,0.0748183914045848,0.026088290961174487,0.009026034468169125,0.042473454091193005,119,7.04,1192,17.73,13,1.1814088663044684,9.141636569903685e-4,1182.2678452735079,9.120108393559096e-5,1.2550015378624653,1.2338225185208207,Allequash Lake,46.038317,89.620617
AL,1989-11-09,0,0.6235341084884475,0.2727833779057807,0.07329592413763104,0.01841526420788787,0.0076157165825177,0.0857797210077035,94,7.6899999999999995,849.5,10.96,5,0.8541286376521748,0.0023374508309797295,856.5323041713872,2.0417379446695318e-5,0.9880286747397472,0.9498615260733757,Allequash Lake,46.038317,89.620617
AL,1989-11-09,4,0.5923449273915863,0.26990331207570456,0.07220844751837835,0.019182566883216533,0.0076157165825177,0.08182386008744535,95,7.7,852,11.03,5,0.8607880176875349,0.002410545945711652,863.2673270350112,1.9952623149688786e-5,0.9536392538688857,0.9526381403032096,Allequash Lake,46.038317,89.620617
AL,1989-11-09,7,0.6048205998303308,0.26990331207570456,0.07177345687067728,0.017903729091002095,0.007051589428257128,0.0859879242140329,95,7.69,858,11.01,5,0.8580252099042377,0.0023481143840407732,860.4395207828719,2.0417379446695274e-5,0.9644010978677147,0.9534128379305685,Allequash Lake,46.038317,89.620617
AL,1990-02-27,4,0.7086181945206845,0.3085784817938696,0.06916351298447083,0.022763312701416953,0.009026034468169125,0.08827815948365605,108,6.99,970,14.42,3,0.8862949592356221,4.537382083111396e-4,886.6569996016527,1.0232929922807536e-4,1.1091235020004417,0.9840528913957585,Allequash Lake,46.038317,89.620617
AL,1990-02-27,7,0.8588252906831678,0.35836247685661393,0.0800382791769977,0.02647194229883882,0.00930809804529941,0.07963772642098689,131,7.09,1219,17.689999999999998,4.5,1.1590566568475125,7.842019242702569e-4,1159.7756427469458,8.128305161640995e-5,1.3236979890156184,1.248786683238069,Allequash Lake,46.038317,89.620617
AL,1990-04-30,0,0.6053196267278806,0.25426866899814854,0.06742355039366654,0.020205637116988084,0.008461907313908555,0.07974182802415157,94,8.08,866,10.6,14.1,0.859730131948787,0.007510316776390672,867.7320014303474,8.31763771102671e-6,0.9472174832366839,0.9554441840632378,Allequash Lake,46.038317,89.620617
AL,1990-04-30,4,0.6427466440441139,0.25344579304669823,0.06894601766062029,0.02046140467543097,0.008320875525343411,0.08005413283364562,95.5,8.065,867,10.985,13.7,0.8902879272227779,0.00743451975531713,898.1800392737796,8.609937521846016e-6,0.9855998594268633,0.98609745533708415,Allequash Lake,46.038317,89.620617
AL,1990-04-30,7,0.6726882578971006,0.26332030446410204,0.07046848492757406,0.022251777584531177,0.009026034468169125,0.07266291900895273,102,7.05,947,13.79,5.1,0.8885064238650682,5.587928770044035e-4,888.9927279449773,8.912509381337459e-5,1.028728824873308,0.9707541702191945,Allequash Lake,46.038317,89.620617
AL,1990-08-22,0,0.6157991915764259,0.27813207159020775,0.0695985036321719,0.01688065885723055,0.0076157165825177,0.06974807412034145,99,8.65,867,10.31,21.7,0.8377212413988409,0.03266118501445414,873.8748545474552,2.2387211385683376e-6,0.9804104256560361,0.9477462171161541,Allequash Lake,46.038317,89.620617
AL,1990-08-22,4,0.6262787564249713,0.28142357539600904,0.0695985036321719,0.017392193974116326,0.007897780159647984,0.06974807412034145,NA,8.28,866,10.78,19.8,0.8794277934905446,0.014011685607155929,894.7123482932845,5.248074602497734e-6,0.9946930294272686,0.9710853333776899,Allequash Lake,46.038317,89.620617
AL,1990-08-22,7,0.9202055990817906,0.3423163958033327,0.07394841010918264,0.02762289631183181,0.01043635235382055,0.01644805330002082,135,6.97,1361,21.21,14.9,1.37711127821829,9.534437842228909e-4,1377.9926863373928,1.0715193052376071e-4,1.3640933013061378,1.4049491276563542,Allequash Lake,46.038317,89.620617
AL,1990-11-09,0,0.6078147612156295,0.26249742851265173,0.06872852233676977,0.016369123740344774,0.008461907313908555,0.06537580678742452,94,7.94,825,10.57,3.2,0.8447508620818286,0.0038797536711783656,848.7511569932565,1.1481536214968817e-5,0.9554098358053958,0.92246832985434,Allequash Lake,46.038317,89.620617
AL,1990-11-09,4,0.6048205998303308,0.26002880065830075,0.06829353168906868,0.016624891298787664,0.008179843736778268,0.06495940037476577,94,7.96,829,10.49,3.2,0.8397048857086925,0.004038333569693291,843.8707199461217,1.0964781961431852e-5,0.9497678234764879,0.9168824633899298,Allequash Lake,46.038317,89.620617
AL,1990-11-09,7,0.6035730325864563,0.26126311458547624,0.06785854104136761,0.01803161287022354,0.008179843736778268,0.06547990839058922,94,7.945,827,10.815000000000001,3.2,0.8646848910269714,0.004017291811583745,868.8243340346742,1.1350108156723144e-5,0.9507263010835237,0.9423619349659227,Allequash Lake,46.038317,89.620617
AL,1991-02-19,0,0.6821697689505464,0.301995474182267,0.07960328852929661,0.01969410200010231,0.00930809804529941,0.09806371018113678,106,7.27,938,13.53,-1,0.9316815849069187,7.928263956638206e-4,932.4354274016393,5.3703179637025325e-5,1.0834626336622122,1.0398462195290186,Allequash Lake,46.038317,89.620617
AL,1991-02-19,4,0.6981386296721392,0.2962353425221148,0.07351341946148157,0.020972939792316743,0.00874397089103884,0.0757859671038934,107,7.09,940,13.91,0.9,0.8916378880390969,5.355952342785445e-4,892.1032086933311,8.128305161640995e-5,1.0888603314480525,0.9767034212683078,Allequash Lake,46.038317,89.620617
AL,1991-02-19,7,0.7929537402065971,0.33079613248302814,0.07677584931923964,0.02557675584428871,0.009449129833864553,0.05673537372475536,123,7.025,1167.5,16.880000000000003,2.3,1.0538746916079795,5.714253905709463e-4,1054.361717087377,9.440608762859225e-5,1.2261024778531537,1.1206306205571703,Allequash Lake,46.038317,89.620617
AL,1991-05-07,0,0.6030740056889067,0.25468010697387367,0.06677106442211493,0.01982198577932375,0.008885002679603982,0.0711013949614824,91,7.66,827.5,11.36,8.2,0.8858164456251824,0.002495258524724267,888.3994055651561,2.187761623949552e-5,0.9443471628642189,0.9682981017909931,Allequash Lake,46.038317,89.620617
AL,1991-05-07,4,0.6058186536254304,0.25262291709524787,0.06785854104136761,0.019949869558545195,0.00874397089103884,0.07162190297730585,91,7.62,827,10.83,8.2,0.8395493678235451,0.002156840589963205,841.7820020090924,2.3988329190194897e-5,0.946249981320591,0.922072082281853,Allequash Lake,46.038317,89.620617
AL,1991-05-07,7,0.6033235191376815,0.25509154494959885,0.06698855974596546,0.01943833444165942,0.00874397089103884,0.07099729335831773,91,7.65,832,10.83,8.2,0.8432925882607883,0.0023214006000514377,845.6987966852415,2.238721138568338e-5,0.9448419582749051,0.9253552531101964,Allequash Lake,46.038317,89.620617
AL,1991-08-27,0,0.6013274115474824,0.26002880065830075,0.06437861585975901,0.014834518389687452,0.007474684793952557,0.07047678534249427,91,8.594999999999999,796,9.629999999999999,22.1,0.7836099603755748,0.027155157823525723,813.9401741191838,2.5409727055493118e-6,0.9405693464552296,0.8887165883355473,Allequash Lake,46.038317,89.620617
AL,1991-08-27,4,0.6038225460352312,0.26002880065830075,0.06655356909826439,0.015090285948130338,0.006769525851126843,0.07037268373932958,91,8.46,798,9.89,21,0.8068483010169683,0.01999641176422237,828.9742340806747,3.4673685045253096e-6,0.9454952017399267,0.903986922371647,Allequash Lake,46.038317,89.620617
AL,1991-10-28,0,0.5988322770597335,0.26414318041555235,0.06742355039366654,0.017392193974116326,0.006769525851126843,0.07162190297730585,93,7.67,839,10.97,7.9,0.8562309353126811,0.002446178940446993,858.7649730581908,2.1379620895022326e-5,0.9477912018430688,0.9370685430815607,Allequash Lake,46.038317,89.620617
AL,1991-10-28,4,0.5988322770597335,0.26249742851265173,0.06785854104136761,0.017136426415673436,0.006769525851126843,0.0720383093899646,93,7.65,841,10.94,7.3,0.850713451995522,0.002279611988197728,853.0690524343238,2.238721138568338e-5,0.9463246730294262,0.9318008992248111,Allequash Lake,46.038317,89.620617
AL,1991-10-28,7,0.6060681670742052,0.26002880065830075,0.06851102701291922,0.017136426415673436,0.007051589428257128,0.07058088694565895,93,7.615,845,11.005,7.1,0.8509352913135748,0.0020909641471304405,853.0907012736362,2.426610095082414e-5,0.9517444211610986,0.9306587318346212,Allequash Lake,46.038317,89.620617
AL,1992-03-04,0,0.5878536853136384,0.26085167660975106,0.0730784288137805,0.018671031766330757,0.009590161622429696,0.10951488652925255,93,7.41,803,11.11,0.1,0.8065528458056733,9.847053575829778e-4,807.5244039607538,3.890451449942805e-5,0.9404548225035007,0.9266425993149385,Allequash Lake,46.038317,89.620617
AL,1992-03-04,7,0.7166026248814811,0.3061098539395186,0.0713384662229762,0.025320988285845825,0.013539051702253686,0.05371642723297939,107,6.94,1024,17.87,4.7,1.0779724945720586,5.196338310328279e-4,1078.3877156145422,1.1481536214968817e-4,1.1193719333298215,1.1457476073383246,Allequash Lake,46.038317,89.620617
AL,1992-05-05,0,0.5913468735964867,0.25344579304669823,0.06394362521205793,0.01841526420788787,0.010718415930950836,0.07141369977097647,90,7.52,819,10.83,8.4,0.8255877095799532,0.0016947474607295115,827.3322490780134,3.0199517204020195e-5,0.9271515560631307,0.9094145727426101,Allequash Lake,46.038317,89.620617
AL,1992-05-05,4,0.5848595239283397,0.25344579304669823,0.06350863456435686,0.01764796153255921,0.00930809804529941,0.07141369977097647,90,7.51,792,10.76,8.1,0.81818887820701,0.001626808716408077,819.860690950717,3.090295432513592e-5,0.919461913071954,0.900537484739694,Allequash Lake,46.038317,89.620617
AL,1992-08-26,0,0.5993313039572833,0.26743468422135364,0.0695985036321719,0.015090285948130338,0.00874397089103884,0.07620237351655215,94,8.41,863,10.26,19.6,0.8374341548004376,0.01791555725246753,857.0439751511518,3.890451449942805e-6,0.9514547777589392,0.9402960564604961,Allequash Lake,46.038317,89.620617
AL,1992-08-26,4,0.6023254653425819,0.265788932318453,0.0695985036321719,0.015346053506573226,0.00874397089103884,0.07807620237351655,NA,8.49,855,10.6,19.6,0.8646967865377706,0.02224044622556519,888.9763228645483,3.2359365692962813e-6,0.9530589547997801,0.9737574060278912,Allequash Lake,46.038317,89.620617
AL,1992-08-26,6,0.649233993712261,0.26743468422135364,0.06698855974596546,0.017392193974116326,0.008179843736778268,0.056006662502602535,102,7.05,959,14.37,16.5,0.9741800936168588,8.44423229298742e-4,974.9882147917048,8.912509381337459e-5,1.0010494316536964,1.0392110230855383,Allequash Lake,46.038317,89.620617
AL,1992-11-06,0,0.6118069763960277,0.2629088664883769,0.07046848492757406,0.01752007775333777,0.010295320565255407,0.0776597959608578,92,7.68,853.5,10.83,3.8,0.8411013860373899,0.0021647275852337755,843.3203299263417,2.089296130854041e-5,0.9627044055653164,0.9312212301487369,Allequash Lake,46.038317,89.620617
AL,1992-11-06,4,0.6048205998303308,0.26249742851265173,0.07090347557527513,0.017136426415673436,0.010154288776690265,0.07724338954819904,92,7.68,845,10.88,3.7,0.8448383515490459,0.002167315514639199,847.0591142239709,2.089296130854041e-5,0.955357930333931,0.9344033453885744,Allequash Lake,46.038317,89.620617
AL,1992-11-06,7,0.5968361694695344,0.26002880065830075,0.07046848492757406,0.017136426415673436,0.00987222519955998,0.07724338954819904,92,7.67,847,10.77,3.7,0.835031425373811,0.0020933957557071224,837.1760431901255,2.1379620895022326e-5,0.9444698814710828,0.9242404358772771,Allequash Lake,46.038317,89.620617
AL,1993-02-23,0,0.6686960427167024,0.3094013577453199,0.08308321371090521,0.01969410200010231,0.010154288776690265,0.10576722881532376,106,7.25,949,13.06,0.1,0.8972721747648329,7.578751601957418e-4,897.9899671505676,5.623413251903491e-5,1.0808747161730297,1.0139515675170427,Allequash Lake,46.038317,89.620617
