lakeid,sampledate,depth,ca,mg,na,k,cl,so4,cond,ph,alk,dic,temp,bicarbonate,carbonate,alkalinity_calculated,Lake,Lat,Long
CB,1999-08-25,2,0.31,0.21,0.21,0.29,0.12,0.77,10,4.8,0,1.93,19,0.2463243873321984,6.272443950184188e-7,-11.811539942803751,Crystal Bog,46.007583,-89.606183
CB,1999-11-03,0,0.53,0.2,0.14,0.33,0.18,0.72,8,5.35,11,0.91,5.1,0.29572185549676094,1.8247806977158301e-6,0.3801846827508764,Crystal Bog,46.007583,-89.606183
CB,2000-03-29,0,0.46,0.19,0.18,0.41,0.18,0.58,11,5.33,25,1.49,4.4,0.45588010677320573,2.627383867379467e-6,2.794460831392846,Crystal Bog,46.007583,-89.606183
CB,2001-03-01,0,0.47,0.22,0.14,0.38,0.12,0.45,10,5.16,31,1.3,0.4,0.24650853053744193,8.409189976690271e-7,-2.8781185652291637,Crystal Bog,46.007583,-89.606183
CB,2001-03-01,2,0.78,0.23,0.15,0.425,0.15000000000000002,0,13,5.43,63.5,1.875,3.6,0.697263366076166,4.9302985119386525e-6,7.7125928671496204,Crystal Bog,46.007583,-89.606183
CB,2001-05-03,0,0.46,0.18,0.14,0.38,0.16,0.59,8,5.37,9,0.68,17.2,0.2935675472889108,2.659933572483791e-6,0.5468033356084122,Crystal Bog,46.007583,-89.606183
CB,2001-11-12,0,0.47,0.19,0.16,0.44,0.11,0.69,11,5.37,12,0.97,5.8,0.33461055737210893,2.209984519531604e-6,1.2186287346766564,Crystal Bog,46.007583,-89.606183
CB,2002-02-22,0,0.65,0.21,0.15,0.49,0.28,0.87,14,5.28,34,0.93,2,0.23997805315810322,1.1395345933017236e-6,-1.3148072765392291,Crystal Bog,46.007583,-89.606183
CB,2002-02-22,2,0.79,0.2,0.12,0.455,0.21000000000000002,0.56,14,5.470000000000001,64,1.725,4.2,0.708783885243863,5.602784789856073e-6,8.228404369555102,Crystal Bog,46.007583,-89.606183
CB,2002-04-25,2,0.52,0.14,0.14,0.44,0.18,0.57,14,5.16,34,2.94,5.6,0.6389475339954934,2.585875060707244e-6,3.5536743102422292,Crystal Bog,46.007583,-89.606183
CB,2002-08-13,0,0.45,0.15,0.13,0.24,0.1,0.49,11,5.09,27,0.63,24.8,0.1659291848647748,9.359666327316007e-7,-5.4076591058376895,Crystal Bog,46.007583,-89.606183
CB,2002-10-28,2,0.51,0.15,0.1,0.27,0.07,0.4,10,5.21,11,0.86,4.8,0.20457431810258211,9.058514984431321e-7,-2.812887152340443,Crystal Bog,46.007583,-89.606183
CB,2003-02-20,0,0.73,0.24,0.03,0.47,0.2,0,15,5.28,61,2.9,0.5,0.7183996291557913,3.2418025442976113e-6,6.5260052697605095,Crystal Bog,46.007583,-89.606183
CB,2003-02-20,2,0.98,0.2,0.005,0.41,0.13,0,14,5.515,79,3.13,3.6,1.393546172453712,1.198388767385354e-5,19.784626995329486,Crystal Bog,46.007583,-89.606183
CB,2003-05-01,0,0.63,0.155,0,0.38,0.18,0.195,11,5.59,46.5,0.835,12.4,0.5230720476998101,6.9483848771240475e-6,6.003793135096276,Crystal Bog,46.007583,-89.606183
CB,2003-05-01,2,0.72,0.16,0,0.39,0.22,0,13,5.29,52,2.15,5.7,0.6225297671103036,3.409238835719041e-6,5.07443187543341,Crystal Bog,46.007583,-89.606183
CB,2003-08-18,2,0.69,0.26,0.22,0.59,0.35,0.58,12,4.99,20,2.34,19.1,0.45698406384703183,1.8065532994559435e-6,-2.742805659222677,Crystal Bog,46.007583,-89.606183
CB,2003-11-06,0,0.555,0.17,0.11,0.16,0,0.595,9,5.055,19.5,0.61,3.4,0.09936759950547466,2.943707867972341e-7,-7.181777493618744,Crystal Bog,46.007583,-89.606183
CB,2003-11-06,2,0.54,0.17,0.11,0.13,0,0.55,9,5.06,15,0.74,4.3,0.12475902189242889,3.849061205108507e-7,-6.664767029746199,Crystal Bog,46.007583,-89.606183
CB,2004-02-27,2,1.05,0.24,0.21,0.31,0,0,14,5.42,70,4.67,3.7,1.704190790966994,1.181418317141703e-5,24.128655648424225,Crystal Bog,46.007583,-89.606183
CB,2004-04-28,0,0.55,0.15,0.13,0.31,0.11,0.6,10,5.15,16,1.51,13.2,0.37853721652201644,1.8655012404009456e-6,-0.8750583873159037,Crystal Bog,46.007583,-89.606183
CB,2004-08-18,0,0.6,0.195,0.265,0.22499999999999998,0.075,0.665,10,5.095000000000001,12.5,0.765,18.4,0.18621964503053318,9.221123249113563e-7,-4.982557336561708,Crystal Bog,46.007583,-89.606183
CB,2004-08-18,2,0.59,0.2,0.26,0.24,0.14,0.53,13,4.96,10,1.7,17.2,0.3011628902152065,1.061608049689327e-6,-6.028537272374282,Crystal Bog,46.007583,-89.606183
CB,2005-02-28,0,0.31,0.22,0.16,0.47,0.16,0.45,12,5.13,64,1.95,1,0.35181010539616264,1.1433457496742507e-6,-1.6471313783215709,Crystal Bog,46.007583,-89.606183
CB,2005-04-18,0,0.6,0.19,0.12,0.39,0.17,0.48,11,5.69,44,1.37,14.5,1.084817044515358,1.9183332739041973e-5,15.739928435522605,Crystal Bog,46.007583,-89.606183
CB,2005-08-09,2,0.65,0.3,0.25,0.57,0.36,0.65,13,4.79,7,4.07,19.3,0.510340216531426,1.278919575874264e-6,-7.853771354126621,Crystal Bog,46.007583,-89.606183
CB,2005-11-08,0,0.72,0.23,0.17,0.33,0.13,0.58,12,5.03,15,0.81,7.1,0.13680521300436305,4.2982301238976495e-7,-7.090207228621722,Crystal Bog,46.007583,-89.606183
CB,2006-02-23,2,0.95,0.23,0.17,0.39,0.16,0,16,5.45,67,6.66,3.8,2.597305764167297,1.9355970369561376e-5,39.019828222150586,Crystal Bog,46.007583,-89.606183
CB,2006-04-18,2,0.99,0.25,0.21,0.47,0.18,0.34,16,5.32,54,6.73,4.7,2.0299375247728992,1.1542752326388835e-5,28.48279879484967,Crystal Bog,46.007583,-89.606183
CB,2006-08-07,2,1.91,0.21,0.23,0.81,0.26,0.85,18,4.85,115,12.82,18.1,1.8037880387647116,5.0445998585123474e-6,15.43721631058839,Crystal Bog,46.007583,-89.606183
CB,2006-10-26,0,0.55,0.13,0.06,0.31,0.09,0.67,14,5.37,11,0.94,4.7,0.3158353156889509,2.015057275808959e-6,0.9108717569558162,Crystal Bog,46.007583,-89.606183
CB,2006-10-26,2,0.55,0.13,0.06,0.3,0.09,0.62,10.5,5.355,10,0.995,4.4,0.32132200214599277,1.961613094786484e-6,0.8508554121108912,Crystal Bog,46.007583,-89.606183
CB,2007-02-21,0,0.76,0.23,0.2,0.47,0.23,0.68,13,5.43,28,1.98,0.8,0.6847251323775314,4.409755277468792e-6,7.506984547840773,Crystal Bog,46.007583,-89.606183
CB,2007-02-21,2,0.755,0.225,0.18,0.45,0.23,0.625,14,5.3149999999999995,44,4.79,3.7,1.3940828862720043,7.588817026800746e-6,18.006281034398363,Crystal Bog,46.007583,-89.606183
CB,2007-04-23,2,0.58,0.19,0.16,0.38,0.18,0.69,12,5.15,5,0.98,5.6,0.20833730156980126,8.239661569046925e-7,-3.6647448075359197,Crystal Bog,46.007583,-89.606183
CB,2007-08-14,2,1.19,0.29,0.19,0.38,0.18,0.44,13,5.13,27,6.95,20.8,1.8940369377335668,1.0748062394109215e-5,23.629323735639186,Crystal Bog,46.007583,-89.606183
CB,2007-11-08,0,0.77,0.26,0.21,0.24,0.08,0.83,14,5.13,21,0.89,4.4,0.17571762780921812,6.389814040131524e-7,-4.533035118212433,Crystal Bog,46.007583,-89.606183
CB,2007-11-08,2,0.775,0.26,0.185,0.24,0.06,0.7649999999999999,12,5.13,11.5,0.935,4.4,0.18460222696811115,6.712894525306714e-7,-4.387425692981369,Crystal Bog,46.007583,-89.606183
CB,2008-02-25,0,0.98,0.3,0.22,0.45,0.23,0.31,15,5.37,73,5.11,0.6,1.5442979374252639,8.602941429693792e-6,21.04404108199138,Crystal Bog,46.007583,-89.606183
CB,2008-08-27,0,0.62,0.24,0.19,0.25,0.01,0.44,10,5.09,25.5,1.21,19.7,0.29727925625356033,1.5003329671925472e-6,-3.25536911150011,Crystal Bog,46.007583,-89.606183
CB,2008-08-27,2,1.33,0.33,0.4,0.7,0.02,0.99,16,4.77,298,8.32,17.7,0.9717503952644426,2.238756668030053e-6,-1.0561580375022621,Crystal Bog,46.007583,-89.606183
CB,2008-11-06,2,0.65,0.25,0.23,0.27,0.01,0.33,10,5.11,3,1.16,6.4,0.2301381193559973,8.509338883013628e-7,-3.990471803217204,Crystal Bog,46.007583,-89.606183
CB,2009-02-17,0,0.46,0.32,0.25,0.44,0.18,0.48,14,5.05,42,4.03,1,0.6083886921066138,1.644562583206279e-6,1.0584772342575992,Crystal Bog,46.007583,-89.606183
CB,2009-02-17,2,1.1,0.26,0.21,0.4,0.17,0.03,16,5.49,103.5,6.595000000000001,3.9,2.8062151218658347,2.300469504811367e-5,42.755980849505654,Crystal Bog,46.007583,-89.606183
CB,2009-04-27,0,0.64,0.225,0.034999999999999996,0,0.14,0.29500000000000004,10.5,5.305,57,0.9950000000000001,10.1,0.32830338682348437,2.1221739419036046e-6,0.4266801857744872,Crystal Bog,46.007583,-89.606183
CB,2009-04-27,2,0.85,0.27,0.05,0,0.21,0.46,14,5.11,43,5.84,5.3,1.1281293670510686,4.031069234040262e-6,10.72665007617095,Crystal Bog,46.007583,-89.606183
CB,2009-08-18,0,0.54,0.22,0.24,0.15,0,0,11,4.65,20,0.62,23.3,0.060128687959915106,1.1934797841413912e-7,-21.401370794423507,Crystal Bog,46.007583,-89.606183
CB,2009-11-09,0,0.64,0.25,0.28,0.29,0.11,0.35,12,5.17,8,0.815,5.5,0.18062857604288712,7.457120355551629e-7,-3.8002230642400274,Crystal Bog,46.007583,-89.606183
CB,2009-11-09,2,0.65,0.25,0.28,0.32,0.09,0.22,12,5.16,9,0.88,5,0.1884552500285401,7.484527835247678e-7,-3.82945215818932,Crystal Bog,46.007583,-89.606183
CB,2010-02-22,0,0.33,0.31,0.34,0.42,0.14,0.49,14,4.92,47,4.39,1.1,0.49649386494207987,9.983077819190706e-7,-3.8855422677360965,Crystal Bog,46.007583,-89.606183
CB,2010-02-22,2,1.21,0.29,0.275,0.45,0.165,0.385,16.5,5.515,124.5,6.42,3.8,2.8723322867059418,2.4861455423599475e-5,44.02066780864778,Crystal Bog,46.007583,-89.606183
CB,2010-04-14,0,0.62,0.26,0.29000000000000004,0.37,0.14500000000000002,0.29000000000000004,11,5.28,65,1.315,9.4,0.4050856401516095,2.422812444677473e-6,1.3914226348142034,Crystal Bog,46.007583,-89.606183
CB,2010-04-14,2,0.91,0.31,0.28,0.43,0.22,0.27,15,5.14,76,6.57,6,1.3795178497700196,5.39850455548324e-6,15.364810292171247,Crystal Bog,46.007583,-89.606183
CB,2010-08-04,0,0.62,0.415,0.125,0.275,0.13,0.61,12,4.895,37,0.41,27.3,0.07231979992140888,2.7363703224974056e-7,-11.548837600032723,Crystal Bog,46.007583,-89.606183
CB,2010-08-04,2,0.82,0.27,0.24,0.25,0.2,0.71,17,4.64,15,4.04,19.2,0.36065942547131946,6.38359066142314e-7,-16.997582727738415,Crystal Bog,46.007583,-89.606183
CB,2010-11-12,0,0.745,0.24,0.23,0.32,0.45,0.625,13.5,4.965,45,0.735,6,0.10457873120242377,2.735202699417228e-7,-9.125147181511364,Crystal Bog,46.007583,-89.606183
CB,2010-11-12,2,0.73,0.23,0.22,0.31,0.46,0.61,13,4.95,42,1.13,5.5,0.15356882618052964,3.8202145908081163e-7,-8.70318237292,Crystal Bog,46.007583,-89.606183
CB,2011-02-17,0,0.535,0.29,0.275,0.47,0.355,0.69,17,4.95,40,4.31,1.3,0.5244040096121385,1.1375506195957395e-6,-2.6256528585109717,Crystal Bog,46.007583,-89.606183
CB,2011-02-17,2,1.22,0.27,0.25,0.47,0.36,0.37,19,5.45,79,5.95,3.8,2.3204158103296426,1.7292496050884413e-5,34.481851981039114,Crystal Bog,46.007583,-89.606183
CB,2011-05-02,0,0.73,0.2,0.21,0.49,0.52,0.44,12,5.26,54,2.25,5.6,0.608858717817779,3.102121959910654e-6,4.483544867647159,Crystal Bog,46.007583,-89.606183
CB,2011-05-02,2,1.025,0.27,0.245,0.6499999999999999,0.61,0.585,18,5.18,73.5,6.51,4.6,1.4425429325754415,5.923434040275483e-6,17.035150678220873,Crystal Bog,46.007583,-89.606183
CB,2012-02-22,0,0.855,0.265,0,0.275,0.155,0.575,14,4.975,34,4.475,1.6,0.5807395754898134,1.348019996249177e-6,-1.0747129872864036,Crystal Bog,46.007583,-89.606183
CB,2012-02-22,2,0.38,0.27,0,0.26,0.24,0.67,16,5.55,6,3.38,3.7,1.623178746892019,1.5179303116286079e-5,23.784735268289012,Crystal Bog,46.007583,-89.606183
CB,2012-04-04,0,0.59,0.22,0,0.11,0.39,0.81,12,5.35,18,0.94,13,0.36164529456772104,2.809593640079761e-6,1.4610616329722905,Crystal Bog,46.007583,-89.606183
CB,2012-04-04,2,0.96,0.27,0,0.21,0.44,0.89,16,5.155,39.5,5.725,5.3,1.2215815925265523,4.84154343512735e-6,13.022329477534422,Crystal Bog,46.007583,-89.606183
CB,2012-08-22,0,0.64,0.24,0,0,0.25,0.27,10,5.13,9,1.9,19.6,0.5086922300066775,2.808482500138475e-6,0.9247644101391373,Crystal Bog,46.007583,-89.606183
CB,2012-08-22,2,2.065,0.35,0,0,0.41500000000000004,0.865,17,4.77,24.5,9.235,18,1.0840344625743425,2.5155941528535107e-6,0.784066085833313,Crystal Bog,46.007583,-89.606183
CB,2012-11-05,0,0.73,0.23,0.67,0.43,0.09,0.08,13,5.275,12,1.7,4.2,0.45927089163568624,2.317176028059161e-6,2.2184777571636416,Crystal Bog,46.007583,-89.606183
CB,2012-11-05,2,0.69,0.22,0.42,0.45,0.1,0.1,13,5.27,17,1.64,4.3,0.4393532706161021,2.198349401238573e-6,1.8305727430545784,Crystal Bog,46.007583,-89.606183
CB,2013-02-18,0,0.875,0.28,0.265,0.5,0.32,0.72,17,5.39,68,3.8099999999999996,1.4,1.228577177507363,7.365123547119498e-6,16.061730312428324,Crystal Bog,46.007583,-89.606183
CB,2013-02-18,2,1.01,0.23,0.24,0.45,0.31,0.36,17,5.56,103,6.21,3.8,3.0523597719747273,2.9304046208495908e-5,47.272010615201495,Crystal Bog,46.007583,-89.606183
CB,2013-05-13,0,0.59,0.14,0.19,0.32,0.4,0.67,15,5.3,14,1.85,9.2,0.5925162551725065,3.6893941078733648e-6,4.699454121499342,Crystal Bog,46.007583,-89.606183
CB,2013-05-13,2,0.95,0.20500000000000002,0.24,0.45,0.455,0.775,17,5.09,34.5,6.02,4.3,1.0849437707183631,3.5866589843209245e-6,9.65300693181893,Crystal Bog,46.007583,-89.606183
CB,2013-08-05,0,0.525,0.20500000000000002,0.245,0.29500000000000004,0.155,0.30000000000000004,12,4.955,1.5,0.7,19.1,0.12649628456999112,4.6134677971095695e-7,-9.01803094943908,Crystal Bog,46.007583,-89.606183
CB,2013-08-05,2,2.33,0.28,0.4,0.4,0.33,0.67,21,5.04,103,12.24,14.6,2.472943848128184,9.815430056796356e-6,31.40940028543213,Crystal Bog,46.007583,-89.606183
CB,2013-11-07,0,0.68,0.21,0.31,0.4,0.15,0.38,11,5.0649999999999995,5,1.05,4.1,0.1780920177068191,5.522542792226131e-7,-5.690998169491075,Crystal Bog,46.007583,-89.606183
CB,2013-11-07,2,0.68,0.21,0.3,0.4,0.16,0.38,11,5.07,7,1.06,3.9,0.18086854257426338,5.63713660338524e-7,-5.546938076053892,Crystal Bog,46.007583,-89.606183
CB,2014-02-20,0,0.47,0.22,0.07,0.45,0.33,0.64,14,5,16,1.7,0.5,0.22625499725087048,5.358196538384716e-7,-6.291802993967889,Crystal Bog,46.007583,-89.606183
CB,2014-02-20,2,1.135,0.225,0.08,0.49,0.355,0.42,17,5.470000000000001,59,2.795,3.8,1.1372667858094705,8.874711112526043e-6,15.250835791277243,Crystal Bog,46.007583,-89.606183
CB,2014-08-13,0,0.445,0.18,0.22,0.28,0.39,0.11,11,4.92,1,1.005,20.6,0.1719137625141408,5.988083173265326e-7,-9.204558839051094,Crystal Bog,46.007583,-89.606183
CB,2014-08-13,2,2.16,0.31,0.29,1.05,0.55,0.58,21,5.08,65,15.77,14.1,3.4481056035844344,1.4811997565357684e-5,48.19383997673702,Crystal Bog,46.007583,-89.606183
CB,2014-11-04,0,0.58,0.2,0.225,0.43,0.2,0.51,12.5,5.115,97.5,1.4700000000000002,5.8,0.2906580282406576,1.0671658405914644e-6,-2.909768488655127,Crystal Bog,46.007583,-89.606183
CB,2014-11-04,2,0.57,0.2,0.21,0.43,0.46,0.59,12,5.1,19,1.18,5.1,0.22184790466884763,7.698082960701309e-7,-4.3071893212764,Crystal Bog,46.007583,-89.606183
CB,2015-03-06,0,0.425,0.22,0.225,0.495,0.19,0.27,15,5.01,17,3.93,0.6,0.5364253293187391,1.3044431342224359e-6,-0.9808110249099389,Crystal Bog,46.007583,-89.606183
CB,2015-03-06,2,0.89,0.2,0.22,0.51,0.21,0.14,17,5.45,72,6.37,3.7,2.478080671151955,1.8407759268742e-5,37.0658302275808,Crystal Bog,46.007583,-89.606183
CB,2015-04-20,0,0.6950000000000001,0.17,0.195,0.37,0.15000000000000002,0.36,11,5.04,9,1.41,10.9,0.26490758460762287,9.515398736013485e-7,-4.778198302698575,Crystal Bog,46.007583,-89.606183
CB,2015-04-20,2,1.39,0.22,0.24,0.53,0.1,0.4,17,5.37,55,7.24,4.8,2.438521569414896,1.560746954749686e-5,35.699711921785884,Crystal Bog,46.007583,-89.606183
CB,2015-08-12,0,0.445,0.15,0.155,0.25,0.49,0.45,10,4.9399999999999995,3,1.0699999999999998,24.3,0.2013171948993248,7.9568091888817e-7,-8.181317052371325,Crystal Bog,46.007583,-89.606183
CB,2015-08-12,2,1.16,0.21,0.21,0.6,0.59,0.76,15,4.9,28,10.31,16.8,1.5870854482456176,4.8249059058134675e-6,13.421827656321856,Crystal Bog,46.007583,-89.606183
CB,2015-11-09,0,0.585,0.175,0.31,0.335,0.245,0.315,11.5,5.24,19.5,1.3599999999999999,7.8,0.37085149181686233,1.9299123221347794e-6,0.3239115187216789,Crystal Bog,46.007583,-89.606183
CB,2015-11-09,2,0.52,0.17,0.18,0.35,0.24,0.3,10,5.23,16,1.35,6.1,0.34627114780092977,1.6722712682683661e-6,-0.2130464207872796,Crystal Bog,46.007583,-89.606183
CB,2017-02-23,0,0.675,0.175,0.185,0.37,0.315,0.695,13.5,5.0649999999999995,22.5,2.675,0.6,0.4129220382033288,1.1396826508012174e-6,-1.8424417547192953,Crystal Bog,46.007583,-89.606183
CB,2017-02-23,2,0.75,0.16,0.16,0.39,0.3,0.28,14,5.33,60,5.64,3.9,1.7042830406968084,9.665787485012693e-6,23.254564454831335,Crystal Bog,46.007583,-89.606183
CB,2017-04-18,0,0.505,0.125,0.045,0.3,0.25,0.425,9.5,5.17,13.5,1.74,9.1,0.41905612542873444,1.928697081523264e-6,0.10748180380643337,Crystal Bog,46.007583,-89.606183
CB,2017-04-18,2,0.66,0.16,0.08,0.38,0.3,0.46,14,5.16,35,5.14,4.8,1.0952992236316914,4.322536554417372e-6,11.032790344768003,Crystal Bog,46.007583,-89.606183
CB,2017-08-07,0,0.43,0.15,0,0.09,0.21,0.42,10,4.91,6,1.3,20.8,0.21812524327776153,7.458434209291381e-7,-8.72724854351232,Crystal Bog,46.007583,-89.606183
CB,2017-08-07,2,0.49,0.17,0.025,0.29000000000000004,0.23,0.415,11.5,4.78,5,4.53,17.9,0.5429363424145041,1.2861757449461504e-6,-7.697377376291831,Crystal Bog,46.007583,-89.606183
CB,2017-11-06,0,0.58,0.17,0.08,0.28,0,1,10,5.06,15,1.35,3.6,0.22353800047705305,6.742605163214909e-7,-5.045896507125476,Crystal Bog,46.007583,-89.606183
CB,2017-11-06,2,0.6,0.17,0.07500000000000001,0.28,0,1,11,5.04,9.5,1.3450000000000002,3.9,0.21466147162715732,6.24380918681518e-7,-5.60184998414369,Crystal Bog,46.007583,-89.606183
CB,2018-02-23,0,0.49,0.2,0.175,0.4,0.435,0.785,13,5.03,30,4.27,0.5,0.6078049337042929,1.5423561884414561e-6,0.6288602031357893,Crystal Bog,46.007583,-89.606183
CB,2018-02-23,2,0.83,0.19,0.17,0.41,0.43,0.65,14,5.32,55,5.83,3.6,1.710944424167582,9.391009279285721e-6,23.25476022335121,Crystal Bog,46.007583,-89.606183
CB,2018-05-14,0,0.47,0.13,0.125,0.19,0.21,0.335,7.5,5.34,27.5,0.735,20.7,0.3139309911199216,2.882669091661684e-6,0.5757643620547656,Crystal Bog,46.007583,-89.606183
CB,2018-05-14,2,0.82,0.2,0.18,0.47,0.41,0.41,14,5.19,55,6.42,5.1,1.4723914917558252,6.2856552145044185e-6,17.674758074329663,Crystal Bog,46.007583,-89.606183
CB,2018-08-07,0,0.49,0.11,0.15,0.24,0.35,0.5,9,5.1,6,0.85,26,0.23207352297987893,1.3724315349272627e-6,-4.138443569556482,Crystal Bog,46.007583,-89.606183
CB,2018-08-07,2,0.5,0.175,0.21000000000000002,0.425,0.42000000000000004,0.49,12.5,4.83,1.5,3.4850000000000003,17.9,0.46731009395471435,1.2421000072371631e-6,-7.131978377345628,Crystal Bog,46.007583,-89.606183
CB,2018-11-05,0,0.55,0.17,0.13,0.3,0.22,0.55,11,5.33,30,1.64,4.1,0.4980542961493781,2.8429637756778205e-6,3.4856439163567225,Crystal Bog,46.007583,-89.606183
CB,2018-11-05,2,0.565,0.165,0.13,0.295,0.225,0.56,11,5.335,31,1.5750000000000002,4.1,0.4835182778528598,2.7919493241677656e-6,3.3009590328941356,Crystal Bog,46.007583,-89.606183
CR,1985-08-22,0,1.085,0.28500000000000003,0.335,0.365,0.41000000000000003,3.4450000000000003,13,6.5,21,0.32,18.7,0.9142465796382119,1.1585578051269046e-4,14.690550165535084,NA,NA,NA
CR,1985-08-22,8,1.02,0.26,0.33,0.38,0.41,3.45,NA,6.3,17,0.33,18.6,0.7500164713012325,5.982676119350648e-5,11.804896657842903,NA,NA,NA
CR,1985-08-22,12,1.1,0.27,0.33,0.37,0.43,3.39,NA,5.93,28,0.63,9.8,0.7213392292628804,1.949476366724777e-5,10.650122203863539,NA,NA,NA
CR,1986-04-22,0,1.15,0.26,0.3,0.325,0.41,3.375,14,5.91,7,0.58,6.8,0.6060888854609078,1.431403840745723e-5,8.705089653895849,NA,NA,NA
CR,1986-04-22,10,1.14,0.26,0.3,0.32,0.41,3.37,13,5.94,8,0.56,5.5,0.6023711336372408,1.4643633337925712e-5,8.726196476059535,NA,NA,NA
CR,1986-04-22,19,1.12,0.25,0.29,0.31,0.41,3.4,14,5.46,8,0.72,4.9,0.29456217249572025,2.326801609024983e-6,1.3607737278652419,NA,NA,NA
CR,1986-08-14,0,1.06,0.26,0.34,0.35,0.41,3.37,13,6.63,10,0.33,21,1.0772134261807036,1.9417750052885441e-4,17.457945091678447,NA,NA,NA
CR,1986-08-14,8,1.04,0.26,0.35,0.38,0.39,3.18,NA,6.59,9,0.27,21.1,0.8524762349571218,1.4046033967192792e-4,13.747803463343946,NA,NA,NA
CR,1986-08-14,10,1.0750000000000002,0.275,0.325,0.35,0.4,3.25,13,6.29,9,0.43,16.3,0.9434426326920106,6.953567548733046e-5,14.961241030793904,NA,NA,NA
CR,1986-08-14,12,1.12,0.28,0.33,0.33,0.37,3.14,NA,6.28,18,0.46,13.2,0.9624162088135639,6.398083247230221e-5,15.257613750544389,NA,NA,NA
CR,1986-08-14,15,1.18,0.29,0.33,0.35,0.37,2.65,NA,5.92,17,1.06,10.2,1.2004681302322113,3.2069599360570595e-5,18.475576522735885,NA,NA,NA
CR,1986-08-14,19,1.2,0.3,0.33,0.34,0.32,2.5,14,5.69,40,2.14,9.4,1.5471529492416398,2.3785166564496418e-5,23.316470518355526,NA,NA,NA
CR,1986-11-03,0,1.04,0.27,0.31,0.33,0.39,3.23,13,6.24,15,0.52,8.8,0.9704583836112981,5.201928693017893e-5,15.335563008217147,NA,NA,NA
CR,1986-11-03,10,1.0550000000000002,0.27,0.32,0.39,0.395,3.2300000000000004,13,6.18,16,0.52,8.8,0.8872959316850811,4.1424375394667224e-5,13.886429368981815,NA,NA,NA
CR,1986-11-03,19,1.1,0.27,0.32,0.39,0.46,3.23,13,6.17,15,0.53,8.8,0.8905827969908094,4.0631399402874914e-5,13.924790669450381,NA,NA,NA
CR,1987-02-25,0,1.62,0.37,0.43,0.55,0.67,4.82,19,6.19,24,0.91,0.6,1.362529959824929,5.0148960495168875e-5,21.688195792053225,NA,NA,NA
CR,1987-02-25,3,1.17,0.26,0.31,0.34,0.65,3.66,NA,5.81,14,1.01,4,0.8246692866353985,1.4170209182792419e-5,11.968125137168185,NA,NA,NA
CR,1987-02-25,10,1.18,0.265,0.31,0.33999999999999997,0.53,3.5549999999999997,14.5,5.9350000000000005,15,1.01,4,1.0437649462231067,2.39165839422071e-5,15.946906917980398,NA,NA,NA
CR,1987-02-25,15,1.18,0.28,0.3,0.37,0.5,3.55,NA,5.92,17,1.03,4,1.0354476886609585,2.292052727315454e-5,15.769698299447676,NA,NA,NA
CR,1987-02-25,18,1.21,0.27,0.32,0.39,0.55,3.64,NA,5.82,18,1.58,4.2,1.3210408732855907,2.3377946531029367e-5,20.138692784276525,NA,NA,NA
CR,1987-02-25,19,1.2,0.28,0.31,0.36,0.5,3.66,15,5.77,22,1.81,4.2,1.3733489497526266,2.1660626099744057e-5,20.8110987049343,NA,NA,NA
CR,1987-04-21,0,1.08,0.27,0.32,0.34,0.45,3.26,13,6.1,13,0.47,11,0.7317336688853486,3.026234546434474e-5,11.202985152286269,NA,NA,NA
CR,1987-04-21,5,1.08,0.27,0.33,0.37,0.475,3.455,13,6.03,16,0.525,9.2,0.707947629377615,2.3673142499334464e-5,10.672904813669364,NA,NA,NA
CR,1987-04-21,10,1.07,0.27,0.33,0.39,0.46,3.28,13,6.05,31,0.51,5.8,0.6698390280470002,2.11748352605333e-5,10.089587807780296,NA,NA,NA
CR,1987-04-21,19,1.08,0.27,0.32,0.38,0.7,3.4,13,5.91,14,0.67,4.8,0.6724610955620535,1.4923581395560328e-5,9.792571019854844,NA,NA,NA
CR,1987-08-12,0,1.09,0.26,0.31,0.32,0.55,3.54,13,6.6,14,0.24,22.3,0.769349815194426,1.332016637042811e-4,12.39470232155101,NA,NA,NA
CR,1987-08-12,5,1.105,0.265,0.33,0.36,0.44,3.395,NA,6.675000000000001,16,0.24,22.5,0.8179140878685984,1.6903666910839685e-4,13.238426656771306,NA,NA,NA
CR,1987-08-12,10,1.1,0.27,0.31,0.31,0.43,3.32,13,6.31,16,0.44,15.3,0.9805731434286616,7.379035863884346e-5,15.59262507994348,NA,NA,NA
CR,1987-08-12,12,1.15,0.27,0.32,0.3,0.43,3.24,NA,6.34,20,0.53,12.5,1.190466474331086,8.917000627372251e-5,19.06425003467939,NA,NA,NA
CR,1987-08-12,15,1.17,0.27,0.32,0.3,0.44,3.16,NA,5.99,22,1.17,9.8,1.4884019265964465,4.6184755271842596e-5,23.37425362684472,NA,NA,NA
CR,1987-08-12,19,1.14,0.28,0.31,0.34,0.46,3.11,14,5.57,27,2.2,9.3,1.2469461834718614,1.4499828394308993e-5,17.745983312907363,NA,NA,NA
CR,1987-11-04,0,1.16,0.27,0.34,0.36,0.4,3.26,14,6.12,5,0.53,8.9,0.8246698350945244,3.3630884616601455e-5,12.7614333083746,NA,NA,NA
CR,1987-11-04,10,1.19,0.27,0.34,0.37,0.44,3.29,14,6.09,4.5,0.65,8.2,0.9524888471861281,3.551147199416183e-5,14.801615115428294,NA,NA,NA
